Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-09-10,18.21747589111328,18.35496650610214,18.171646171750496,18.316773859216063,58284300
2010-09-13,19.179908752441406,19.317399367525656,18.400796238231006,18.484818604538162,114680400
2010-09-14,19.118804931640625,19.363232082087848,19.01186696064441,19.126443462204694,87160400
2010-09-15,19.187549591064453,19.263931980281278,19.034781898829433,19.172272530460816,56201900
2010-09-16,19.34795570373535,19.378509827069855,19.134081211096184,19.141719741929812,44548300
2010-09-17,19.263927459716797,19.50071747280488,19.156990974386915,19.401418059083984,70341600
2010-09-20,19.42434310913086,19.493088442310643,19.17991590533654,19.309768039464903,49838700
2010-09-21,19.210468292236328,19.4167042887147,19.157000024312534,19.4167042887147,52675700
2010-09-22,18.79798698425293,19.07296669841639,18.607028161436546,19.011859933391154,94299400
2010-09-23,18.660503387451172,18.78271696327306,18.60703513014169,18.721610175362116,46201800
2010-09-24,18.92784881591797,18.943124422387076,18.775081096019303,18.820910829228524,51948800
2010-09-27,18.8896541595459,19.08825159164826,18.78271764106801,18.98131507317037,43603300
2010-09-28,18.851463317871094,19.019506629636744,18.599397621772205,18.943122776324785,56041200
2010-09-29,18.713973999023438,18.83618759022009,18.6375901403003,18.81327199553287,44318900
2010-09-30,18.706329345703125,18.966033506231504,18.607031381689545,18.797990237554504,61262700
2010-10-01,18.62230682373047,18.95839481511203,18.56120004865204,18.92020362702568,62672300
2010-10-04,18.263307571411133,18.324414356089395,18.164009592646707,18.301498765497296,98143400
2010-10-05,18.599397659301758,18.675781512767845,18.26330957819148,18.37788462994019,78152900
2010-10-06,18.660503387451172,18.744525767166497,18.431351840109574,18.576481007735843,50489700
2010-10-07,18.73689079284668,18.904934127271392,18.545931862268183,18.805636124407023,50096100
2010-10-08,18.767440795898438,18.828547586719687,18.614674547295724,18.805633450724727,41327800
2010-10-11,18.782711029052734,18.89728603807427,18.71396573225976,18.89728603807427,27587800
2010-10-12,18.966033935546875,19.042417771001972,18.660500050626965,18.828543323107795,50141500
2010-10-13,19.355594635009766,19.508362341041266,19.011868024889296,19.11116747088002,75336500
2010-10-14,19.271570205688477,19.355592580778495,19.09588838222814,19.317401386774304,51949100
